Datetime,Symbol,Market,Time,Open,High,Low,Close,Volume,Value,Signal,Position,Capital,Shares_Held
2023-08-01,VCB,HOSE,,91600,92800,91200,91200,1282915,118055505500,,,100000000,0
2023-08-02,VCB,HOSE,,91200,91500,91000,91500,1055800,96396040000.0011,,,100000000,0
2023-08-03,VCB,HOSE,,91500,91500,90500,90600,837900,76186870000.0002,,,100000000,0
2023-08-04,VCB,HOSE,,90700,91100,90100,90100,1231600,111224970000,,,100000000,0
2023-08-07,VCB,HOSE,,90100,90800,90000,90800,1111700,100495550000,,,100000000,0
2023-08-08,VCB,HOSE,,90800,91200,90100,90700,823400,74691700000,,,100000000,0
2023-08-09,VCB,HOSE,,90700,90900,90100,90200,591600,53457970000,,,100000000,0
2023-08-10,VCB,HOSE,,90500,90500,88500,88500,1336100,119444259999.9990,,,100000000,0
2023-08-11,VCB,HOSE,,88500,90400,88500,90400,920800,82213689999.9999,,,100000000,0
2023-08-14,VCB,HOSE,,90300,90300,89000,89000,1471800,131623979999.9980,,,100000000,0
2023-08-15,VCB,HOSE,,90000,90000,88500,88900,1148500,102120370000,,,100000000,0
2023-08-16,VCB,HOSE,,88800,89400,88700,89200,727300,64826110000,,,100000000,0
2023-08-17,VCB,HOSE,,89200,89800,88600,89400,2145100,191693480000.0010,,,100000000,0
2023-08-18,VCB,HOSE,,89800,90300,89000,89500,2430400,217491950000.0030,,,100000000,0
2023-08-21,VCB,HOSE,,89700,90200,89200,89800,1710900,153317170000.0010,,,100000000,0
2023-08-22,VCB,HOSE,,89500,89700,87800,88400,1825000,161531760000.0010,,,100000000,0
2023-08-23,VCB,HOSE,,88900,88900,86100,86300,1754800,152698219999.9990,,,100000000,0
2023-08-24,VCB,HOSE,,86300,88200,86000,87000,902800,78529619999.9997,,,100000000,0
2023-08-25,VCB,HOSE,,86200,87000,86000,86200,1404600,121227500000,,,100000000,0
2023-08-28,VCB,HOSE,,86400,87500,86200,87000,1378300,119674570000.0010,,,100000000,0
2023-08-29,VCB,HOSE,,87000,88500,86900,88400,1391900,122266960000,Buy,Buy,99116000,10
2023-08-30,VCB,HOSE,,88500,89500,88500,89100,1350000,120437169999.9980,,,99116000,10
2023-08-31,VCB,HOSE,,89100,89600,88300,89100,1531200,136656360000.0010,,,99116000,10
2023-09-05,VCB,HOSE,,89100,90700,89100,90100,1942200,174726890000,,,99116000,10
2023-09-06,VCB,HOSE,,90200,90200,89700,90200,2017600,181566640000.0010,Buy,Buy,98214000,20
2023-09-07,VCB,HOSE,,90000,90800,89500,89500,1765300,158928000000,,,98214000,20
2023-09-08,VCB,HOSE,,89500,89500,89100,89500,1341900,119997800000.0010,,,98214000,20
2023-09-11,VCB,HOSE,,89600,90000,88000,88500,1649500,147118400000.0010,,,98214000,20
2023-09-12,VCB,HOSE,,89000,90000,88900,89900,1572100,140505139999.9990,,,98214000,20
2023-09-13,VCB,HOSE,,90000,90000,88900,89100,1582000,141534340000,,,98214000,20
2023-09-14,VCB,HOSE,,89000,89500,88100,89100,1512600,134027750000,,,98214000,20
2023-09-15,VCB,HOSE,,88900,89800,88600,89800,2142400,191698079999.9990,,,98214000,20
2023-09-18,VCB,HOSE,,89500,89700,88300,88800,718100,63680829999.9995,,,98214000,20
2023-09-19,VCB,HOSE,,88800,89200,86000,88100,1117200,97884730000.0004,,,98214000,20
2023-09-20,VCB,HOSE,,88100,88400,86400,88000,786000,69132880000.0003,,,98214000,20
2023-09-21,VCB,HOSE,,88000,88000,86800,87000,1066900,93129230000.0009,,,98214000,20
2023-09-22,VCB,HOSE,,86400,89500,86000,89300,2408600,210802430000.0010,,,98214000,20
2023-09-25,VCB,HOSE,,89000,89500,88300,89300,2210400,197323750000,,,98214000,20
2023-09-26,VCB,HOSE,,89200,89400,86900,87000,1663200,147482810000,,,98214000,20
2023-09-27,VCB,HOSE,,87600,89000,87000,87800,1204900,105970970000,,,98214000,20
2023-09-28,VCB,HOSE,,87200,88300,86600,88000,1065100,93111310000.0002,,,98214000,20
